lang_ru	all_domains	lang	lang_tokens	rus_tokens	token_median	trash_tokens	type1_domains_crawled	type1_domains_found	type1_to_all	urls	lang_number_2010	lang_wiki_03_2014	lang_wiki_articles_2015	lang_wiki	lang_wiki_articles_2016	lang_wiki_admins_2016	lang_wiki_active_users_2016	vk_communities	vk_posts	vk_posts_in_lang	lang_tokens_vk	lang_augmentation_2002_2010	lang_augmentation_2002_2010_percent	lang_circulation_books_2009	lang_circulation_magazin_1996	lang_circulation_newspaper_1996	iso_code	lang_code	lang_detsad	lang_family	lang_mean_age	lang_number_2002	lang_number_books_2009	lang_number_magazin_1996	lang_number_newspapers_1996	lang_region	lang_religion	lang_status	lang_write_system	lang_write_system_comment	region_FedDistrict	region_birth_rate2014	region_budget_cost2010	region_budget_cost2011	region_budget_cost2014	region_budget_emoluments2010	region_budget_emoluments2011	region_budget_emoluments2014	region_citizens_percent	region_death_rate2014	region_density_of_population	region_inet_user_percent_2010	region_inet_user_percent_2011	region_number_computers_per_family2010	region_population_growth2014	region_rating_indx2013	region_rating_indx2014	region_rating_position2013	region_rating_position2014	region_sr_dush_doxod2002	region_sr_dush_doxod2010	region_sr_mes_zp_2010	region_sr_mes_zp_2015
Абазинский	24	abq	209058	1561220	5.0	1240111	1	2	0.04	9154	37831	0	4	inc	5			5	124111	15321	121766	-416	-1.19	800	0	422000	abq	abq	6	абхазо-адыгский	NA	38247	2	0	1	Карачаево-Черкесия	NA	государственный	кириллица	да	СКФО	13.63	14832.12	15940.36	20782.17	13803.63	15072.72	18602.54	42.68	9.77	32.9	10.8	19.3	0.25	3.87	29.75	31.13	78	79	1999.4	10878.0	11357.9	16.4
Аварский	160	ava	1292393	1073723	441	172335	1	1	0.01	2033	715297	1126	1999	wiki	2271	1	24	6	4915	731	31462	-69543	-8.86	70000	6000	4497000	ava	av	80	нахско-дагестанский	24.6	784840	21	1	11	Дагестан	Ислам	государственный	кириллица	да	СКФО	19.10	64058.51	75070.61	92469.32	62407.28	71409.23	89902.49	45.08	5.56	59.5	10.6	4.3	0.38	13.54	33.33	33.75	73	71	1534	15678.3	10186.6	15.7
Адыгейский	151	ady	302329	642128	307.0	163971	1	2	0.01	376	117489	0	241	wiki	356	1	17	5	125693	42060	426651	-11930	-9.92	500	5000	1706000	ady	ady	0	абхазо-адыгский	34.2	129419	1	2	2	Адыгея	Ислам	государственный	кириллица	да	ЮФО	12.67	13046.42	13836.35	16908.74	12525.29	13398.02	16091.54	47.14	13.24	57.6	17.6	26.2	0.53	-0.56	40.66	41.92	49	43	2166.9	12278.7	12493.6	18.8
Арчинский	2	aqc	309	2063	117	4044	0	0	0.0	3	970	0	0	none	0			0	0	0	0	446	85.51	0	0	0	aqc	--	0	нахско-дагестанский	NA	524	0	0	0	Дагестан	NA		кириллица		СКФО	19.10	64058.51	75070.61	92469.32	62407.28	71409.23	89902.49	45.08	5.56	59.5	10.6	4.3	0.38	13.54	33.33	33.75	73	71	1534	15678.3	10186.6	15.7
Башкирский	-1	bak	-1	-1	-1	-1	-1	74	-1	-1	1150000	32008	34983	wiki	35851	7	78	259	2886875	1116445	13607697	-227323	-16.68	812500	1541000	27059000	bak	ba	446	тюркский	34.2	1379727	154	9	30	Башкортостан	Ислам	государственный	кириллица	да	ПФО	14.86	122253.44	140653.70	179568.43	119726.27	135357.68	165755.98	61.69	13.16	28.5	33.4	48.5	0.63	1.71	46.29	47.57	20	19	3133.8	17498.9	16403.4	25.6
Бурятский	679	bxr	58919015	372538198	54	66033171	17	19	0.03	534593	283000	939	1430	wiki	1689	1	21	60	317101	68860	531115	-150250	-40.04	40400	0	1305000	bxr	bxr	77	монгольский	28.6	368807	23	0	7	Бурятия	Буддизм	государственный	кириллица	да	СФО	17.52	40826.44	44660.37	54601.98	39198.14	44754.33	50409.60	58.91	11.44	2.8	28.8	34.1	0.60	6.08	30.66	32.05	77	75	3141.2	14270.7	17917.5	25.2
Ингушский	684	inh	1241138	6196360	96	1827001	1	3	0.0	4575	305868	0	500	inc	574			81	537939	156119	1209950	-99475	-24.44	31000	3000	0	inh	inh	0	нахско-дагестанский	22.7	405343	4	1	0	Ингушетия	Ислам	государственный	кириллица	да	СКФО	20.38	17301.83	17027.51	24302.76	15690.53	17699.16	24471.59	40.74	3.42	127.9	NA	2.7	NA	16.96	28.80	30.16	79	80	1170.7	9630.0	13408.2	18.9
Ительменский	1	itl	154	301	154	8	0	0	0.0	1	7	0	14	inc	14			0	0	0	0	-303	-78.80	0	0	0	itl	itl	0	чукотско-камчатский	NA	385	0	0	0	Камчатский край	NA		кириллица	алфавит 90-х годов, не используется	ДВФО	13.30	42674.46	53664.82	63527.13	44641.85	54836.33	62399.77	77.52	11.61	0.7	NA	62.7	NA	1.69	40.09	40.44	54	51	5915.6	27010.3	36470.5	46000.0
Кабардино-черкесский	773	kbd	4553446	3053770	215	2060531	4	6	0.01	10507	515672	1341	1526	wiki	1558	1	14	-1	-1	-1	-1	-71875	-12.23	72700	0	0	kbd	kbd	15	абхазо-адыгский	28.2	587547	25	0	0	Кабардино-Балкария	Ислам		кириллица	да	СКФО	15.66	23198.76	25091.39	30098.32	22488.18	24869.93	28100.34	52.25	8.83	69.0	14.8	22.1	0.52	6.84	33.01	33.2	75	72	2095	11290.0	11658.9	17.2
Калмыцкий	133	xal	2538782	19726525	18	17685099	4	5	0.03	43523	80546	1871	2017	wiki	2018	2	18	54	81150	6658	125573	-73056	-47.76	700	48000	1225000	xal	xal	44	монгольский	31.3	153602	3	2	1	Калмыкия	Буддизм	государственный	кириллица	да	ЮФО	14.18	9382.38	9741.02	11339.05	9236.71	9451.48	10712.37	45.10	10.00	3.8	24.2	37.9	0.40	4.17	25.89	25.41	81	82	1763	7774.0	11664.5	18.3
