Язык-->Язык	количество ссылок	С домена	На домен
Аварский-->Литературный даргинский	1
		hakikat.etnosmi.ru	zamana.etnosmi.ru
Аварский-->Рутульский	1
		hakikat.etnosmi.ru	rutul.etnosmi.ru
Аварский-->Татский	1
		hakikat.etnosmi.ru	vatan.etnosmi.ru
Аварский-->Чеченский	1
		hakikat.etnosmi.ru	niiso.etnosmi.ru
Бурятский-->Бурятский	75
		infpol.ru	bgtrk.ru
		infpol.ru	burunen.ru
		vt-inform.ru	burunen.ru
		egov-buryatia.ru	minkultrb.ru
		minkultrb.ru	buryad.fm
		minkultrb.ru	bgtrk.ru
		minkultrb.ru	soyol.ru
		minkultrb.ru	burunen.ru
		minkultrb.ru	infpol.ru
		ehehelen.ru	buryad.fm
		ehehelen.ru	buryadxelen.com
		ehehelen.ru	soyol.ru
		ehehelen.ru	ehozanchal.ru
		ehehelen.ru	bgtrk.ru
		ehozanchal.ru	soyol.ru
		ehozanchal.ru	ehehelen.ru
		buryatia.org	toonto.mn
		buryatia.org	egov-buryatia.ru
		buryatia.org	soyol.ru
		buryatia.org	burunen.ru
		buryatia.org	buryadxelen.com
		buryatia.org	infpol.ru
		buryatia.org	profistart.ru
		buryatia.org	minkultrb.ru
		buryatia.org	buryad.fm
		buryatia.org	bgtrk.ru
		bgtrk.ru	vt-inform.ru
		buryad.fm	burunen.ru
		buryad.fm	minkultrb.ru
		soyol.ru	minkultrb.ru
		minkultrb.ru	egov-buryatia.ru
		burunen.ru	vt-inform.ru
		burunen.ru	minkultrb.ru
		buryadxelen.com	infpol.ru
		burunen.ru	egov-buryatia.ru
		burunen.ru	infpol.ru
		ehehelen.ru	minkultrb.ru
		vt-inform.ru	egov-buryatia.ru
		baikal-tales.ru	vt-inform.ru
		burunen.ru	selorodnoe.ru
		minkultrb.ru	selorodnoe.ru
		burunen.ru	bgtrk.ru
		buryadxelen.com	buryad.fm
		buryadxelen.com	minkultrb.ru
		infpol.ru	egov-buryatia.ru
		buryatia.org	selorodnoe.ru
		buryad.fm	soyol.ru
		infpol.ru	vt-inform.ru
		egov-buryatia.ru	infpol.ru
		bgtrk.ru	infpol.ru
		vt-inform.ru	infpol.ru
		minkultrb.ru	buryadxelen.com
		minkultrb.ru	ehehelen.ru
		baikal-tales.ru	burunen.ru
		soyol.ru	burunen.ru
		burunen.ru	baikal-tales.ru
		infpol.ru	minkultrb.ru
		okagazeta.ru	egov-buryatia.ru
		bgtrk.ru	minkultrb.ru
		bgtrk.ru	burunen.ru
		ehehelen.ru	infpol.ru
		infpol.ru	soyol.ru
		vt-inform.ru	baikal-tales.ru
		burunen.ru	okagazeta.ru
		buryadxelen.com	zhigmitov.com
		minkultrb.ru	mungen-tobsho.com
		minkultrb.ru	ehozanchal.ru
		bgtrk.ru	mungen-tobsho.com
		baikal-tales.ru	infpol.ru
		baikal-tales.ru	minkultrb.ru
		egov-buryatia.ru	burunen.ru
		infpol.ru	selorodnoe.ru
		soyol.ru	mungen-tobsho.com
		infpol.ru	okagazeta.ru
		bgtrk.ru	egov-buryatia.ru
Бурятский-->Калмыцкий	5
		buryatia.org	forum.freekalmykia.org
		buryatia.org	vesti-kalmykia.ru
		buryatia.org	forum.kalmykia.ru
		buryatia.org	freekalmykia.org
		buryadxelen.com	vesti-kalmykia.ru
Бурятский-->Лугово-восточный марийский	1
		buryatia.org	mariuver.wordpress.com
Бурятский-->Татарский	2
		burunen.ru	tatar-inform.ru
		infpol.ru	tatar-inform.ru
Бурятский-->Тувинский	1
		buryatia.org	gov.tuva.ru
Бурятский-->Якутский	5
		buryatia.org	ykt.ru
		minkultrb.ru	ysia.ru
		burunen.ru	s-vfu.ru
		buryatia.org	s-vfu.ru
		burunen.ru	news.ykt.ru
Кабардино-черкесский-->Адыгейский	1
		cir.rus4all.ru	adygheya.ru
Кабардино-черкесский-->Кабардино-черкесский	1
		intercircass.org	cir.rus4all.ru
Калмыцкий-->Башкирский	1
		forum.kalmykia.ru	kyk-byre.ru
Калмыцкий-->Бурятский	2
		forum.kalmykia.ru	infpol.ru
		forum.kalmykia.ru	buryatia.org
Калмыцкий-->Калмыцкий	3
		forum.freekalmykia.org	freekalmykia.org
		forum.kalmykia.ru	forum.freekalmykia.org
		forum.kalmykia.ru	vesti-kalmykia.ru
Калмыцкий-->Татарский	1
		forum.kalmykia.ru	tatar-centr.blogspot.com.tr
Калмыцкий-->Чеченский	1
		forum.kalmykia.ru	chechenews.com
Калмыцкий-->Якутский	1
		forum.kalmykia.ru	uhhan.ru
Коми-зырянский-->Коми-зырянский	1
		km.krags.ru	rkomi.ru
Лезгинский-->Лезгинский	4
		lezgikids.com	suleiman-stalskiy.ru
		lezgikids.com	lezgikim.narod.ru
		alamjurnal.com	gusarpress.com
		gusarpress.com	alamjurnal.com
Литературный даргинский-->Аварский	1
		zamana.etnosmi.ru	hakikat.etnosmi.ru
Литературный даргинский-->Рутульский	1
		zamana.etnosmi.ru	rutul.etnosmi.ru
Литературный даргинский-->Татский	1
		zamana.etnosmi.ru	vatan.etnosmi.ru
Литературный даргинский-->Чеченский	1
		zamana.etnosmi.ru	niiso.etnosmi.ru
Лугово-восточный марийский-->Башкирский	2
		kidsher.ru	bashinform.ru
		elvira-kuklina.livejournal.com	tv-rb.ru
Лугово-восточный марийский-->Коми-пермяцкий	1
		mari-arslan.ru	t7-inform.ru
Лугово-восточный марийский-->Лугово-восточный марийский	96
		mariuver.wordpress.com	mishred.narod.ru
		mariuver.wordpress.com	mari-el.gov.ru
		mariuver.wordpress.com	gazetakugarnya.ru
		mariuver.wordpress.com	mincult12.ru
		mariuver.wordpress.com	vijar.wordpress.com
		mariuver.wordpress.com	mari-centr.ru
		mariuver.wordpress.com	mari-el.name
		mariuver.wordpress.com	mari-el-radio.ru
		mariuver.wordpress.com	gazetamariel.ru
		gazetakugarnya.ru	mari-el.name
		mari-centr.ru	mari-arslan.ru
		mari-centr.ru	xn--80afuoop2g.xn--p1ai
		mari-centr.ru	mari-el.name
		mari-centr.ru	kidsher.ru
		mari-centr.ru	mari-el-radio.ru
		mari-centr.ru	gazetamariel.ru
		mari-centr.ru	mincult12.ru
		vijar.wordpress.com	kidsher.ru
		vijar.wordpress.com	mariuver.wordpress.com
		mari-arslan.ru	mari-centr.ru
		mari-arslan.ru	zojadudina.ru
		mari-arslan.ru	gazetamariel.ru
		mincult12.ru	mari-arslan.ru
		mincult12.ru	mari-el-radio.ru
		mincult12.ru	gazetamariel.ru
		shketan.ru	mincult12.ru
		kidsher.ru	mincult12.ru
