набор параметров	Prob (F-statistic):	Adj. R-squared: 	Durbin-Watson: 	
lang_tokens_ln ~ ' + ' + '.join(wiki + vk)	0.00000448	0.616	1.952	
lang_tokens_ln ~ lang_wiki_articles_2016_ln + lang_tokens_vk_ln	5.31E-010	0.658	2.062	
lang_tokens_ln ~ lang_wiki_articles_2016_ln	8.09E-011	0.657	2.183	
urls_ln ~ lang_wiki_articles_2016_ln	2.82E-010	0.635	2.456	
type1_domains_found_ln ~ lang_wiki_articles_2016_ln	3.45E-011	0.672	1.889	
type1_domains_found_ln ~ lang_wiki_articles_2016_ln + lang_tokens_vk_ln	4.68E-011	0.699	1.725	оба значимы
type1_domains_found_ln ~ lang_wiki_articles_2016_ln + lang_wiki_active_users_2016_ln + lang_tokens_vk_ln	1.74E-010	0.703	1.608	
lang_tokens_ln ~ lang_wiki_articles_2016_ln + lang_wiki_active_users_2016_ln + lang_tokens_vk_ln	3.24E-009	0.652	2.053	
urls_ln ~ lang_wiki_articles_2016_ln + lang_wiki_active_users_2016_ln + lang_tokens_vk_ln	1.04E-008	0.629	2.37	
				
				
online+offline				
lang_tokens_ln ~ lang_wiki_articles_2016_ln + lang_tokens_vk_ln + lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	6.03E-008	0.661	2.119	
urls_ln ~ lang_wiki_articles_2016_ln + lang_tokens_vk_ln + lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	8.15E-008	0.654	2.507	
type1_domains_found_ln ~ lang_wiki_articles_2016_ln + lang_tokens_vk_ln + lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	2.76E-010	0.756	1.993	
all_domains_ln ~ lang_wiki_articles_2016_ln + lang_tokens_vk_ln + lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	6.47E-008	0.659	1.802	
type1_domains_found_ln ~ lang_wiki_articles_2016_ln + lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	4.58E-010	0.74	2.022	данные с вк
type1_domains_found_ln ~ lang_wiki_articles_2016_ln + lang_number_2010_ln + region_population_growth2014 + region_budget_cost2014 + lang_number_newspapers_1996_ln	2.12E-010	0.723	2.025	данные без вк
